Week starting (Wythnos yn dechrau),Week ending (Wythnos yn gorffen),Country (Wlad),Check-ins (Cofrestriadau),Symptoms reported (Symptomau a adroddwyd),Positive test results linked to app (Canlyniadau prawf positif),Negative test results linked to app (Canlyniadau prawf negatif),Contact tracing alert (Hysbysiadau olrhain cyswllt),Positive PCR test results linked to app (Canlyniadau prawf PCR positif cysylltiedig i ap),Positive LFD test results linked to app (Canlyniadau prawf LFD positif cysylltiedig i ap),Cumulative check-ins (Cofrestriadau cronnus),Cumulative symptoms reported (Symptomau a adroddwyd cronnus),Cumulative positive test results linked to app (Canlyniadau prawf positif cronnus),Cumulative negative test results linked to app (Canlyniadau prawf negatif cronnus),Cumulative contact tracing alert (Hysbysiadau olrhain cyswllt cronnus),Cumulative Positive PCR test results linked to app (Canlyniadau prawf PCR positif cronnol cysylltiedig i ap),Cumulative Positive LFD test results linked to app (Canlyniadau prawf LFD positif cronnol cysylltiedig i ap)
2021-07-08,2021-07-14,Wales / Cymru,154098,1002,2490,9869,11433,2038,485,4404627,93513,56059,243967,105121,54542,1501
2021-07-15,2021-07-21,England / Lloegr,6662440,35233,145788,267222,679487,111671,36621,243912013,1786336,1435596,5134515,4626179,1297441,155813
2021-07-15,2021-07-21,Wales / Cymru,113396,966,2489,8452,11226,2040,477,4518023,94479,58548,252419,116347,56582,1978
2021-07-22,2021-07-28,England / Lloegr,2331147,23680,82875,186357,389101,64356,19885,246243160,1810016,1518471,5320872,5015280,1361797,175698
2021-07-22,2021-07-28,Wales / Cymru,76896,808,1877,7188,7719,1562,342,4594919,95287,60425,259607,124066,58144,2320
2021-07-29,2021-08-04,England / Lloegr,1717848,20195,72987,152331,311472,55684,18550,247961008,1830211,1591458,5473203,5326752,1417481,194248
2021-07-29,2021-08-04,Wales / Cymru,69244,701,1463,6529,6259,1195,292,4664163,95988,61888,266136,130325,59339,2612
2021-08-05,2021-08-11,England / Lloegr,1266675,18412,77044,138991,256021,59453,19013,249227683,1848623,1668502,5612194,5582773,1476934,213261
2021-08-05,2021-08-11,Wales / Cymru,46566,712,1881,6379,5985,1563,334,4710729,96700,63769,272515,136310,60902,2946
2021-08-12,2021-08-18,England / Lloegr,963529,16031,76513,144534,238153,59437,18407,250191212,1864654,1745015,5756728,5820926,1536371,231668
2021-08-12,2021-08-18,Wales / Cymru,32514,693,3261,7713,9768,2720,573,4743243,97393,67030,280228,146078,63622,3519
2021-08-19,2021-08-25,England / Lloegr,745041,13132,71630,156631,219474,56729,16222,250936253,1877786,1816645,5913359,6040400,1593100,247890
2021-08-19,2021-08-25,Wales / Cymru,26812,806,4218,9071,10950,3560,722,4770055,98199,71248,289299,157028,67182,4241
2021-08-26,2021-09-01,England / Lloegr,624807,12136,62520,141407,196302,49160,14640,251561060,1889922,1879165,6054766,6236702,1642260,262530
2021-08-26,2021-09-01,Wales / Cymru,23375,862,4876,9745,11155,4147,798,4793430,99061,76124,299044,168183,71329,5039
2021-09-02,2021-09-08,England / Lloegr,535081,12885,68798,166131,199629,54584,15758,252096141,1902807,1947963,6220897,6436331,1696844,278288
2021-09-02,2021-09-08,Wales / Cymru,21696,1029,6134,12614,12666,5204,1014,4815126,100090,82258,311658,180849,76533,6053
